src_ip,dst_ip,src_port,dst_port,packet_count,flow_duration,avg_packet_size,iat_mean,total_bytes
192.168.10.14,131.253.61.80,49433,80,6,0.09384012222290039,195.5,0.01876802444458008,1173
192.168.10.9,23.15.4.16,1046,80,9,0.0337071418762207,90.66666666666667,0.004213392734527588,816
192.168.10.51,91.189.89.144,35479,80,10,5.2308030128479,139.9,0.5812003347608778,1399
192.168.10.9,72.21.91.29,1075,80,5,5.095179080963135,62.4,1.2737947702407837,312
192.168.10.14,23.194.182.63,49462,80,16,6.533866882324219,394.9375,0.43559112548828127,6319
192.168.10.9,72.21.91.29,1091,80,5,5.836202144622803,62.4,1.4590505361557007,312
192.168.10.14,23.194.182.93,49487,80,10,0.048056840896606445,237.8,0.005339648988511827,2378
192.168.10.14,23.194.182.93,49489,80,12,0.07012319564819336,141.83333333333334,0.006374835968017578,1702
192.168.10.14,184.84.243.207,49490,80,9,0.1141519546508789,326.6666666666667,0.014268994331359863,2940
192.168.10.14,23.194.182.93,49497,80,10,0.3809928894042969,115.5,0.0423325432671441,1155
192.168.10.14,104.16.27.216,49511,80,5,5.101086854934692,62.4,1.275271713733673,312
192.168.10.14,23.63.153.151,49524,80,8,1.3979628086090088,130.375,0.19970897265842982,1043
192.168.10.14,198.41.215.186,49525,80,8,1.1035091876983643,206.5,0.1576441696711949,1652
192.168.10.5,8.253.154.121,49193,80,39,0.4018731117248535,629.3846153846154,0.01057560820328562,24546
192.168.10.5,23.199.170.73,49208,80,13,1.0668089389801025,440.9230769230769,0.08890074491500854,5732
192.168.10.5,23.199.171.26,49209,80,7,0.048235177993774414,320.7142857142857,0.008039196332295736,2245
192.168.10.5,23.52.146.130,49210,80,7,0.1459970474243164,126.57142857142857,0.024332841237386067,886
192.168.10.5,23.194.181.138,49211,80,9,0.27504491806030273,118.66666666666667,0.03438061475753784,1068
192.168.10.5,23.15.4.9,49212,80,7,0.06944894790649414,156.85714285714286,0.011574824651082357,1098
192.168.10.5,23.194.181.149,49213,80,21,6.661292791366577,746.0952380952381,0.3330646395683289,15668
192.168.10.14,23.15.4.10,49535,80,14,0.11969780921936035,798.5714285714286,0.009207523786104642,11180
192.168.10.14,23.15.4.9,49536,80,16,1.098762035369873,797.25,0.07325080235799154,12756
192.168.10.14,72.21.91.29,49541,80,5,5.90536093711853,62.4,1.4763402342796326,312
192.168.10.9,72.21.91.29,1106,80,6,5.412666082382202,62.0,1.0825332164764405,372
192.168.10.5,23.194.182.93,49215,80,11,0.04845094680786133,221.8181818181818,0.004845094680786133,2440
192.168.10.5,40.112.210.171,49216,80,19,1.2046558856964111,821.8947368421053,0.06692532698313396,15616
192.168.10.5,23.194.182.93,49219,80,11,0.07306098937988281,272.1818181818182,0.007306098937988281,2994
192.168.10.5,184.84.243.224,49220,80,10,0.12079596519470215,446.0,0.013421773910522461,4460
192.168.10.5,23.194.182.93,49221,80,11,0.0712888240814209,221.27272727272728,0.00712888240814209,2434
192.168.10.5,23.194.182.93,49222,80,11,0.07118606567382812,272.1818181818182,0.007118606567382812,2994
192.168.10.5,184.84.243.218,49231,80,7,0.1102290153503418,156.57142857142858,0.0183715025583903,1096
192.168.10.5,72.21.91.29,49246,80,6,4.173527002334595,468.3333333333333,0.834705400466919,2810
192.168.10.5,23.50.75.27,49249,80,5,5.1050310134887695,62.4,1.2762577533721924,312
192.168.10.5,23.50.75.27,49250,80,5,5.105201005935669,62.4,1.2763002514839172,312
192.168.10.5,216.58.219.206,49253,80,6,0.16661882400512695,256.5,0.03332376480102539,1539
192.168.10.5,178.255.83.1,49258,80,9,0.04727315902709961,204.0,0.005909144878387451,1836
192.168.10.5,216.58.219.206,49263,80,10,0.5570049285888672,294.6,0.061889436509874135,2946
192.168.10.5,216.58.219.206,49264,80,5,5.13057804107666,62.4,1.282644510269165,312
192.168.10.5,72.21.91.29,49272,80,9,10.06869387626648,197.44444444444446,1.25858673453331,1777
192.168.10.17,72.21.91.29,45878,80,50,5.046971082687378,461.52,0.10299940985076282,23076
